    PID TTY      STAT   TIME COMMAND
   1208 ?        Ssl    0:00 /usr/libexec/gvfsd HOME=/home/denis LANG=en_US.UTF-8 LC_ADDRESS=ru_RU.UTF-8 LC_IDENTIFICATION=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_MONETARY=ru_RU.UTF-8 LC_NAME=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 LOGNAME=denis PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin SHELL=/bin/bash SYSTEMD_EXEC_PID=1208 USER=denis XDG_RUNTIME_DIR=/run/user/1000 QT_ACCESSIBILITY=1 XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop CLUTTER_BACKEND=x11 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus DESKTOP_SESSION=xubuntu DISPLAY=:0 GDMSESSION=xubuntu GDM_LANG=en_US GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 GTK_OVERLAY_SCROLLING=0 LANGUAGE=en_US PWD=/home/denis QT_QPA_PLATFORMTHEME=gtk2 SHLVL=1 XAUTHLOCALHOSTNAME= XAUTHORITY=/home/denis/.Xauthority XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg XDG_CURRENT_DESKTOP=XFCE XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 XDG_SESSION_CLASS=user XDG_SESSION_DESKTOP=xubuntu XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 XDG_SESSION_TYPE=x11 _=/usr/bin/dbus-update-activation-environment MANAGERPID=1089 INVOCATION_ID=681e710a8ec1451cb4fc2032a3c224ce JOURNAL_STREAM=8:27376
   1219 ?        Sl     8:30 xfwm4 --replace --display :0.0 --sm-client-id 248b71546-6201-4cef-b38f-49332500e6f5 LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh
   1232 ?        Sl     0:04 xfsettingsd --display :0.0 --sm-client-id 2e3ec7dfe-332d-4ea4-aa1c-2f0bf5cda654 LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh
   1243 ?        Sl     1:15 xfce4-panel --display :0.0 --sm-client-id 21df08588-e58a-43bf-9f1f-2c6f9dc82706 LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh
   1247 ?        Sl     0:00 Thunar --sm-client-id 23b0ceba7-de13-49f3-91e8-fde9736d4579 --daemon LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh
   1252 ?        Sl     0:05 xfdesktop --display :0.0 --sm-client-id 20d966fc6-2636-4020-b715-6f8bf978dc35 LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh
   1253 ?        Sl     0:03 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 18874375 whiskermenu Whisker Menu Show a menu to easily access installed applications LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0.0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh PANEL_GDK_CORE_DEVICE_EVENTS=0 GDK_CORE_DEVICE_EVENTS=1
   1258 ?        Sl     0:32 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 5 18874377 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0.0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh PANEL_GDK_CORE_DEVICE_EVENTS=0
   1259 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 6 18874378 notification-plugin Notification Plugin Notification plugin for the Xfce panel LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0.0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh PANEL_GDK_CORE_DEVICE_EVENTS=0
   1260 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libindicator-plugin.so 7 18874379 indicator Indicator Plugin Provides a panel area for Unity indicators. Indicators allow applications and system services to display their status and interact with the user. LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0.0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh PANEL_GDK_CORE_DEVICE_EVENTS=0
   1261 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 8 18874380 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0.0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh PANEL_GDK_CORE_DEVICE_EVENTS=0
   1262 ?        Sl     1:21 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 9 18874381 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0.0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 SESSION_MANAGER=local/inwin:@/tmp/.ICE-unix/1107,unix/inwin:/tmp/.ICE-unix/1107 SSH_AUTH_SOCK=/run/user/1000/keyring/ssh PANEL_GDK_CORE_DEVICE_EVENTS=0
